  0.01 	0       	200     	-0.5    	0.5    	200    	0.761796518485661
  0.01 	0       	200     	0       	0      	200    	0.7794269148535657
  0.01 	0       	400     	-0.5    	0.5    	200    	0.7374592124163215
  0.01 	0       	400     	-1      	0.5    	200    	0.7386185823687754
  0.01 	0       	200     	-0.5    	-0.5   	200    	0.7457517276198351
  0.01 	0       	300     	-0.5    	-0.5   	200    	0.7732639609946218
  0.01 	0       	200     	-1      	0      	200    	0.7764592532564498
  0.01 	0       	400     	-0.5    	0      	200    	0.7533192142123859
  0.01 	0       	300     	-1      	0      	200    	0.7840593549753383
  0.01 	0       	400     	-1      	0      	200    	0.7460932043677799
  0.01 	0       	300     	0       	0.5    	200    	0.7710737954038275
  0.01 	0       	300     	-0.5    	0      	200    	0.7863962302039572
  0.01 	0       	400     	-1      	-0.5   	200    	0.7502994258991023
  0.01 	0       	400     	-0.5    	-0.5   	200    	0.7588236236303144
  0.01 	0       	400     	0       	0.5    	200    	0.7363849245527969
  0.01 	0       	400     	0.5     	0.5    	200    	0.726572606974766
  0.01 	0       	300     	-1      	-0.5   	200    	0.7638307827704611
  0.01 	0       	300     	0       	0      	200    	0.7869859924901681
  0.01 	0       	400     	0       	0      	200    	0.749976658962645
  0.01 	0       	400     	0       	0.5    	200    	0.7363849245527969
  0.01 	0       	400     	0.5     	0.5    	200    	0.7267260778222229
  0.01 	0       	400     	-1      	0.5    	200    	0.7386185823687754
  0.01 	0       	400     	-0.5    	0.5    	200    	0.7374592124163215
  0.01 	0       	400     	-0.5    	-0.5   	200    	0.759411767310858
  0.01 	0       	200     	-0.5    	0      	200    	0.7788652823774624
  0.01 	0       	400     	-1      	-1     	200    	0.7610201278147246
  0.01 	0       	400     	-1      	-0.5   	200    	0.7502994258991023
  0.01 	0       	200     	-1      	-1     	200    	0.6613307423368534
  0.01 	0       	200     	-1      	0.5    	200    	0.7603778304978639
  0.01 	0       	300     	-1      	0.5    	200    	0.7690221279026193
  0.01 	0       	300     	0.5     	0.5    	200    	0.7693694325506111
  0.01 	0       	400     	0       	0      	200    	0.7501592403881376
  0.01 	0       	200     	0       	0.5    	200    	0.7608431696152155
  0.01 	0       	400     	-1      	0      	200    	0.7460932043677799
  0.01 	0       	400     	-1      	-1     	200    	0.7611691043543681
  0.01 	0       	200     	-1      	-0.5   	200    	0.7434805035823943
  0.01 	0       	300     	-1      	-1     	200    	0.7263157165305129
  0.01 	0       	300     	-0.5    	0.5    	200    	0.7722645323257261
  0.01 	0       	400     	-0.5    	0      	200    	0.7533192142123859
  0.01 	0       	200     	0.5     	0.5    	200    	0.7624527571956755
